Country,Country code,Cluster1990,Flow_1990_2015,Transition_Types,AA,AB,BA,BB,BC,CB,CC,CD,DB,DC,DD,Cluster2015,Life_expectancy,population,CO2(ton),unemployment rate,"Industry, value added (% of GDP)",agriculture add(%gdp)
Brazil,BRA,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,32,180812509.9,1.86090479,10.82771999,28.74087616,6.014005115
Brunei,BRN,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,29.2,347287.1111,17.8216026,2.936360025,63.53799599,0.980292743
Bulgaria,BGR,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,36.35,7868547.185,6.334827757,13.13696005,30.06803324,10.43557865
Burkina Faso,BFA,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,29.2,13053546.48,0.097826916,2.919360008,20.83427022,35.15913713
Burundi,BDI,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,31.5,7398549.63,0.033080038,1.617559996,17.65249921,45.9601761
Cambodia,KHM,ClusterD_1990,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,ClusterC_2015,35,12639692.41,0.221469637,0.984919995,22.75271917,37.98661958
Cameroon,CMR,ClusterC_1990,C_1990-D_2015,CD,0,0,0,0,0,0,0,1,0,0,0,ClusterD_2015,28.75,16933691.44,0.25901971,5.181680098,30.6180499,23.10417125
Canada,CAN,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,39.01846154,31838919.3,16.20065685,8.048000031,29.32261158,1.631591515
Cape Verde,CPV,ClusterC_1990,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,ClusterB_2015,33.8,450792.7407,0.658497831,10.89740005,20.06375936,9.967068371
Central African Republic,CAF,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,30,3908753.296,0.064899108,6.719360027,16.16185505,51.31198331
Chad,TCD,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,30.9,9642126.37,0.030433546,5.724719963,14.76966652,43.73986657
Chile,CHL,ClusterB_1990,B_1990-A_2015,BA,0,0,1,0,0,0,0,0,0,0,0,ClusterA_2015,32,15724397.22,3.679951614,7.139080029,37.89500854,5.730392933
China,CHN,ClusterC_1990,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,ClusterB_2015,32,1276308704,4.173270092,4.418760004,45.26076085,14.46755552
Colombia,COL,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,32,41919779.11,1.578036679,12.05804008,33.28433862,10.5476296
Comoros,COM,ClusterD_1990,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,ClusterC_2015,32.1,590593.5926,0.186723297,20.10556007,0,0
"Congo, Dem. Rep.",COD,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,31.6,53641907.74,0.042232828,3.650199976,28.08239053,33.31144359
"Congo, Rep.",COG,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,32.7,3628201.222,0.43411402,12.31300003,60.53467098,7.034721793
Costa Rica,CRI,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,30.21,4065688.519,1.497325843,6.525079975,27.05417599,9.999747198
Cote d'Ivoire,CIV,ClusterC_1990,C_1990-D_2015,CD,0,0,0,0,0,0,0,1,0,0,0,ClusterD_2015,31.16,17753985.74,0.399792397,9.232040024,30.4207809,23.1217939
Croatia,HRV,ClusterA_1990,A_1990-B_2015,AB,0,1,0,0,0,0,0,0,0,0,0,ClusterB_2015,36.1,4445956.63,4.443103894,12.58340004,28.66955214,5.517789208
Cuba,CUB,ClusterA_1990,A_1990-B_2015,AB,0,1,0,0,0,0,0,0,0,0,0,ClusterB_2015,34.04230769,11152507.96,2.631460535,3.796999984,22.78120541,6.505989684
Cyprus,CYP,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,38.5,987474.4444,6.789850683,7.664960032,19.56545492,3.809403831
Czech Republic,CZE,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,34.95,10348708.19,11.44609927,6.032800045,37.78554872,2.983721989
